name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Encryption & Key Management,,https://aws.amazon.com/kms/,,,,,,,,,,Data protection and cryptographic key management,,,,,,,,,,,,Cross-Cloud Services,Multi-Cloud Security,,,,,,,,,,,,,,,,,,,,,,,,
Filestore,,https://cloud.google.com/filestore,,,,,,,,,,Fully managed NFS file storage,,,,,,,,,,,,Google Cloud Platform,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
Firestore,,https://cloud.google.com/firestore,,,,,,,,,,Serverless NoSQL document database,,,,,,,,,,,,Google Cloud Platform,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
Google Cloud Storage,,https://cloud.google.com/storage,,,https://www.crunchbase.com/organization/google-cloud,,,graduated,,,,Unified object storage service,,,,,,,,,,,,Google Cloud Platform,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
Google Compute Engine,,https://cloud.google.com/compute,,,https://www.crunchbase.com/organization/google-cloud,,,graduated,,,,Customizable compute capacity with global footprint,,,,,,,,,,,,Google Cloud Platform,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Google Kubernetes Engine (GKE),,https://cloud.google.com/kubernetes-engine,,,,,,,,,,Fully managed Kubernetes service,,,,,,,,,,,,Google Cloud Platform,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
Identity & Access Management,,https://aws.amazon.com/iam/,,,,,,,,,,Fine-grained access control across platforms,,,,,,,,,,,,Cross-Cloud Services,Multi-Cloud Security,,,,,,,,,,,,,,,,,,,,,,,,
Infrastructure as Code,,https://www.terraform.io/,,,,,,,,,,IaC tools for multi-cloud deployments,,,,,,,,,,,,Cross-Cloud Services,Integration & DevOps,,,,,,,,,,,,,,,,,,,,,,,,
Load Balancing,,https://aws.amazon.com/elasticloadbalancing/,,,,,,,,,,Traffic distribution services across providers,,,,,,,,,,,,Cross-Cloud Services,Multi-Cloud Networking,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning,,https://aws.amazon.com/sagemaker/,,,,,,,,,,ML and AI services across all providers,,,,,,,,,,,,Cross-Cloud Services,Multi-Cloud Analytics,,,,,,,,,,,,,,,,,,,,,,,,
Monitoring & Observability,,https://aws.amazon.com/cloudwatch/,,,,,,,,,,Cross-cloud monitoring and logging,,,,,,,,,,,,Cross-Cloud Services,Integration & DevOps,,,,,,,,,,,,,,,,,,,,,,,,
OCI Block Volumes,,https://www.oracle.com/cloud/storage/block-volumes/,,,,,,,,,,High-performance block storage,,,,,,,,,,,,Oracle Cloud Infrastructure,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
OCI Compute,,https://www.oracle.com/cloud/compute/,,,https://www.crunchbase.com/organization/oracle-cloud-infrastructure,,,graduated,,,,Scalable compute instances with flexible sizing,,,,,,,,,,,,Oracle Cloud Infrastructure,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
OCI File Storage,,https://www.oracle.com/cloud/storage/file-storage/,,,,,,,,,,Fully managed NFS file system,,,,,,,,,,,,Oracle Cloud Infrastructure,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
OCI Functions,,https://www.oracle.com/cloud/functions/,,,,,,,,,,Serverless functions service,,,,,,,,,,,,Oracle Cloud Infrastructure,Compute Services,,,,,,,,,,,,,,,,,,,,,,,,
OCI NoSQL Database,,https://www.oracle.com/cloud/database/nosql-database/,,,,,,,,,,Fully managed NoSQL service,,,,,,,,,,,,Oracle Cloud Infrastructure,Database Services,,,,,,,,,,,,,,,,,,,,,,,,
OCI Object Storage,,https://www.oracle.com/cloud/storage/object-storage/,,,https://www.crunchbase.com/organization/oracle-cloud-infrastructure,,,graduated,,,,Scalable object storage service,,,,,,,,,,,,Oracle Cloud Infrastructure,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Disk,,https://cloud.google.com/persistent-disk,,,,,,,,,,High-performance block storage,,,,,,,,,,,,Google Cloud Platform,Storage Services,,,,,,,,,,,,,,,,,,,,,,,,
Stream Processing,,https://aws.amazon.com/kinesis/,,,,,,,,,,Real-time data processing capabilities,,,,,,,,,,,,Cross-Cloud Services,Multi-Cloud Analytics,,,,,,,,,,,,,,,,,,,,,,,,
VPC/VNet Networking,,https://cloud.google.com/vpc,,,,,,,,,,Virtual private network solutions available across all cloud providers,,,,,,,,,,,,Cross-Cloud Services,Multi-Cloud Networking,,,,,,,,,,,,,,,,,,,,,,,,
